study_id,title,quality_flags,missing_field_count,resource_count,resource_quality_flags
111,Rwanda Season Agriculture Survey 2023,missing_study_type;missing_scope_notes,2,2,
113,Rwanda Seasonal Agricultural Survey 2024,missing_study_type;missing_scope_notes,2,2,
66,Rwanda Seasonal Agriculture Survey 2013,,0,7,
78,Rwanda Seasonal Agriculture Survey 2014,,0,4,
77,Rwanda Seasonal Agriculture Survey 2015,,0,6,
76,Rwanda Seasonal Agriculture Survey 2016,,0,4,
88,Rwanda Seasonal Agriculture Survey 2017,,0,3,
86,Rwanda seasonal Agriculture Survey 2018,,0,2,
35,Rwanda Service Provision Assessment Survey 2001,,0,7,
60,User Satisfaction Survey 2012,,0,5,
24,"Vision 2020 Umurenge Program, Baseline Survey 2008",missing_scope_notes,1,2,
oa_W3006242760,Contribution of Small and Medium Enterprises Run by Women in Generating Employment Opportunity in Rwanda,external_research_article;no_microdata,2,1,
oa_W1498249540,"Culture, Practice and Law: Women's Access to Land in Rwanda",external_research_article;no_microdata,2,1,
oa_W2028884874,"Impact of health systems strengthening on coverage of maternal health services in Rwanda, 2000–2010: a systematic review",external_research_article;no_microdata,2,1,
oa_W2799352675,A qualitative study on perceptions of surgical careers in Rwanda: A gender-based approach,external_research_article;no_microdata,2,1,
oa_W2334877514,"Bridging the Gender Gap: Identifying What Is Holding Self-employed Women Back in Ghana, Rwanda, Tanzania, and the Republic of Congo",external_research_article;no_microdata,2,0,
oa_W2890926734,An Analysis of the Determinants of Youth Employment in Rwanda,external_research_article;no_microdata,2,1,
oa_W3009312613,Promoting gender equality in the Rwandan ASM: efforts and obstacles,external_research_article;no_microdata,2,0,
oa_W2066572588,Legacy of Colonialism in the Empowerment of Women in Rwanda,external_research_article;no_microdata,2,1,
oa_W2923789281,Considering the benefits of hosting refugees: evidence of refugee camps influencing local labour market activity and economic welfare in Rwanda,external_research_article;no_microdata,2,1,
oa_W4390476970,Assessing the Contributions of Rwanda Gender Equality Policies to the Women Empowerment in Rwanda,external_research_article;no_microdata,2,1,
oa_W2187117880,Rural wage employment in Rwanda and Ethiopia: A review of the current policy neglect and a framework to begin addressing it,missing_url;external_research_article;no_microdata,3,0,
oa_W2513096430,Happiness and life satisfaction in Rwanda,external_research_article;no_microdata,2,1,
oa_W2211785744,"Assessment of the environment for the development of women's entrepreneurship in Cameroon, Mali, Nigeria, Rwanda and Senegal",missing_url;external_research_article;no_microdata,3,0,
oa_W2125151453,The care connection The World Bank and women's unpaid care work in select sub- Saharan African countries,external_research_article;no_microdata,2,1,
oa_W4282916301,Do Cooperatives Improve Female Miners’ Outcomes? A Case Study of Rwanda,external_research_article;no_microdata,2,0,
oa_W2217538606,The adolescent girls initiative in Rwanda : final evaluation report,missing_url;external_research_article;no_microdata,3,0,
oa_W1999217570,‘Control Grabbing’ and small-scale agricultural intensification: emerging patterns of state-facilitated ‘agricultural investment’ in Rwanda,external_research_article;no_microdata,2,0,
oa_W2893740082,"THE DOWNSIDE OF BEING A FEMALE ENTREPRENEUR IN KIGALI, RWANDA",missing_url;external_research_article;no_microdata,3,0,
oa_W2015793800,Alternative agency: Rwandan refugee warriors in exclusionary states,external_research_article;no_microdata,2,0,
oa_W4385202034,Determinants of shock-coping mechanisms adoption and rural household consumption in Rwanda: A two-stage analysis considering both idiosyncratic and covariate shocks,external_research_article;no_microdata,2,1,
oa_W2162087159,"Bridging the Gap: Identifying What is Holding Self-Employed Women Back in Ghana, Rwanda, Tanzania, the Republic of Congo, and Uganda",external_research_article;no_microdata,2,1,
oa_W3149337984,Market participation and its effect on employment and food access within households of smallholder women farmers in Rwanda,missing_url;external_research_article;no_microdata,3,0,
oa_W3138429806,Method Matters: Underreporting of Intimate Partner Violence in Nigeria and Rwanda,external_research_article;no_microdata,2,1,
oa_W4246575609,Constraints Facing Women’s Career Advancement in the Hospitality Industry in Rwanda: Case of Selected Hotels in Kigali,external_research_article;no_microdata,2,1,
oa_W2234326002,Barriers Faced By Women-Owned Businesses: Perspectives of Women from East African Community,missing_url;external_research_article;no_microdata,3,0,
oa_W2322304324,"Malaria, HIV and pregnancy",external_research_article;no_microdata,2,0,
oa_W318516814,"Genocide, Nuptiality, and Fertility in Rwanda and Bosnia-Herzegovina",external_research_article;no_microdata,2,1,
oa_W4251213931,Multidimensional poverty analysis and its determinants in Rwanda,external_research_article;no_microdata,2,0,
oa_W4391564464,Coffee and the agrarian questions in Laos and Rwanda: Taking a bottom-up perspective,external_research_article;no_microdata,2,1,
oa_W2506735758,Employment in the Informal Sector,external_research_article;no_microdata,2,0,
oa_W4242747603,The Gender Gap in Agricultural Productivity in Sub-Saharan Africa,external_research_article;no_microdata,2,1,
oa_W3025688232,"Participatory Exploration of the Heterogeneity in Household Socioeconomic, Food, and Nutrition Security Status for the Identification of Nutrition-Sensitive Interventions in the Rwandan Highlands",external_research_article;no_microdata,2,1,
oa_W2980401580,Farmers’ perspectives on male out-migration and the future of agrarian livelihoods in Rwanda,external_research_article;no_microdata,2,1,
oa_W4361185649,Infection and Social Dislocation: Wellbeing Impacts of COVID-19 on Children and Young People - Perspectives of Rwandan Leaders,external_research_article;no_microdata,2,1,
oa_W171539392,Excess Fertility and Family Planning in Rwanda : Understanding the shift to a high contraceptive prevalence country,missing_url;external_research_article;no_microdata,3,0,
oa_W4401406291,What Works for the Youth: Analysis of Youth Employment Policies in Rwanda,external_research_article;no_microdata,2,1,
oa_W2401514535,"Impact of Health Systems Strengthening on Coverage of Antenatal and Delivery Services in Rwanda, 2000-2010: A Systematic Review",missing_url;external_research_article;no_microdata,3,0,
oa_W1594737686,Bio-economic farm modelling to analyse agricultural land productivity in Rwanda,external_research_article;no_microdata,2,1,
oa_W4290004998,"An Economic Analysis of the Factors Influencing Avocado Production, Profitability and Sustainability in Rwanda: A Case Study of Burera, Gicumbi, and Musanze Districts",external_research_article;no_microdata,2,1,
oa_W2936768041,Microfinance Products And Socio-Economic Development Of Women In Rwanda : A Case Of Uob Clients In Kicukiro District,missing_url;external_research_article;no_microdata,3,0,
oa_W3048470515,Multidimensional poverty analysis and its determinants in Rwanda,external_research_article;no_microdata,2,0,
oa_W2485299849,Trends in female age at first marriage in Rwanda.,external_research_article;no_microdata,2,1,
oa_W2939248380,Environmental Justice and Women Empowerment in Nyungwe National Park (Rwanda): Case Study of Kitabi Women Handcrafts Cooperative,external_research_article;no_microdata,2,1,
oa_W4398142302,Impact of Gender-based Violence on Local Economy: A Case Study of Gasabo District,external_research_article;no_microdata,2,1,
oa_W2571525623,Aid effectiness in Rwanda: who benefits?,external_research_article;no_microdata,2,1,
oa_W3212453834,CRITICAL ANALYSIS OF TOURISM INDUSTRY AND SUSTAINABLE DEVELOPMENT DURING COVID - 19 PANDEMIC. A CASE OF RWANDA,external_research_article;no_microdata,2,1,
oa_W3214135656,"Gendered Journeys: the trajectories of STEM students and graduates through higher education and into employment, in India and Rwanda",external_research_article;no_microdata,2,1,
oa_W2104314858,"‘Even if I am not here, there are so many eyes’: surveillance and state reach in Rwanda",external_research_article;no_microdata,2,1,
oa_W2972531624,The gender gap in firm productivity in Rwanda: Evidence from establishment and household enterprise data,external_research_article;no_microdata,2,0,
oa_W2793432190,Financial Inclusion of Urban Street Vendors in Kigali,external_research_article;no_microdata,2,1,
oa_W4389206779,Micro-Credit Services and Growth of Women Enterprises in Rwanda: A Case of Urwego Opportunity Bank,external_research_article;no_microdata,2,1,
oa_W3216087628,Key failure factors of start-up women owned SMEs in service sector in Kigali: a principal component analysis approach,external_research_article;no_microdata,2,1,
oa_W2946755530,"Characterization of the Beekeeping Value Chain: Challenges, Perceptions, Limitations, and Opportunities for Beekeepers in Kayonza District, Rwanda",external_research_article;no_microdata,2,1,
oa_W2908218652,"Productive Uses of Energy and Gender in the Street Food Sector in Rwanda, Senegal and South Africa",external_research_article;no_microdata,2,1,
oa_W2036280067,Turning<i>interahamwe</i>: individual and community choices in the Rwandan genocide,external_research_article;no_microdata,2,0,
oa_W2997924799,"Productive uses of energy: The informal food sector in South Africa, Rwanda and Senegal: Scoping study report – 2015",external_research_article;no_microdata,2,1,
oa_W2886401189,"Macroeconomic Determinants of Electricity Access in Rwanda, an Empirical Analysis",external_research_article;no_microdata,2,1,
oa_W4313418519,Exploring the effects of a participatory climate services approach on smallholder decision-making in Rwanda using a gender lens,external_research_article;no_microdata,2,1,
oa_W4304195843,Livelihoods in the Eastern Province of Rwanda: Impact evaluation of the Enterprise Development Programme’s support to Tuzamurane cooperative,external_research_article;no_microdata,2,1,
oa_W1029019223,Rwandan women entrepreneurs ; the gendered enterprise of nation-building,external_research_article;no_microdata,2,1,
oa_W2616731613,"A diagnosis of supporting environments and activity of social enterprises in Kenya, Malawi, Rwanda, South Africa, Tanzania, Uganda, and Zambia",missing_url;external_research_article;no_microdata,3,0,
oa_W2790351289,"The political path to universal health coverage: Power, ideas and community-based health insurance in Rwanda",external_research_article;no_microdata,2,1,
oa_W2528775703,"The impact of health insurance on maternal health care utilization: evidence from Ghana, Indonesia and Rwanda",external_research_article;no_microdata,2,1,
oa_W2000479202,Reduced premature mortality in Rwanda: lessons from success,external_research_article;no_microdata,2,1,
oa_W2127933885,Donor‐Driven Justice and its Discontents: The Case of Rwanda,external_research_article;no_microdata,2,0,
oa_W1987299974,"The Role of Non-farm Household Enterprises in Poverty Reduction, Employment Creation and Economic Growth in Rwanda",external_research_article;no_microdata,2,1,
oa_W2058110501,Financial Literacy and Financial Behaviour: Experimental Evidence from Rural Rwanda,external_research_article;no_microdata,2,1,
oa_W1995149045,Land Reform for Peace? Rwanda's 2005 Land Law in Context,external_research_article;no_microdata,2,1,
oa_W1997424133,Reconciliation in Post-Genocide Rwanda,external_research_article;no_microdata,2,1,
oa_W2947923742,Agricultural transformation in Rwanda: Can Gendered Market Participation Explain the Persistence of Subsistence Farming?,external_research_article;no_microdata,2,1,
oa_W4220869351,The use of mobile phones and the heterogeneity of banana farmers in Rwanda,external_research_article;no_microdata,2,1,
oa_W2966388890,"Placing Rwanda’s agriculture boom: trust, women empowerment and policy impact in maize agricultural cooperatives",external_research_article;no_microdata,2,1,
oa_W2768630739,Towards commercial agriculture in Rwanda: Understanding the determinants of market participation among smallholder bean farmers,external_research_article;no_microdata,2,1,
oa_W4403258628,Beyond the ‘gender gap’ in agriculture: Africa's Green Revolution and gendered rural transformation in Rwanda,external_research_article;no_microdata,2,1,
oa_W2562699050,Land tenure regularization in Rwanda : registration of land rights for women and its impacts on food security,missing_url;external_research_article;no_microdata,3,0,
oa_W3007812249,"Sustainable development in East Africa: impact evaluation of regional agricultural development projects in Burundi, Kenya, Rwanda, Tanzania, and Uganda",external_research_article;no_microdata,2,0,
oa_W2883858057,Gender and equitable benefit-sharing mechanisms through Agricultural Innovation Platforms in Rwanda,external_research_article;no_microdata,2,0,
oa_W2164036662,Machetes and Firearms: The Organization of Massacres in Rwanda,external_research_article;no_microdata,2,0,
oa_W3144794825,"THE ROLE OF WOMEN EMPOWERMENT IN AGRICULTURE ON HOUSEHOLD FARM COMMERCIALIZATION OF MAIZE, POTATOES AND BEANS IN NORTHERN PROVINCE OF RWANDA",external_research_article;no_microdata,2,1,
oa_W2031690883,“SMART” Photovoice agricultural consultation: increasing Rwandan women farmers' active participation in development,external_research_article;no_microdata,2,0,
oa_W2909432120,Can agricultural intensification help attain Sustainable Development Goals? Evidence from Africa and Asia,external_research_article;no_microdata,2,1,
oa_W1966490370,Determinants of smallholder farmers' participation in banana markets in Central Africa: the role of transaction costs,external_research_article;no_microdata,2,0,
oa_W2511966742,"POOR FARMERS – POOR YIELDS: SOCIO-ECONOMIC, SOIL FERTILITY AND CROP MANAGEMENT INDICATORS AFFECTING CLIMBING BEAN PRODUCTIVITY IN NORTHERN RWANDA",external_research_article;no_microdata,2,1,
oa_W4205271333,Intensity of adoption of integrated pest management practices in Rwanda: A fractional logit approach,external_research_article;no_microdata,2,1,
oa_W3082084997,EFFECTS OF WOMEN LAND RIGHTS ON AGRICULTURAL OUTCOMES IN RWANDA,external_research_article;no_microdata,2,1,
oa_W1546523248,"LAND USE CONSOLIDATION IN RWANDA: A CASE STUDY OF NYANZA DISTRICT, SOUTHERN PROVINCE",external_research_article;no_microdata,2,0,
oa_W4224302949,Using Outcome Mapping to Mobilize Critical Stakeholders for a Gender Responsive Rift Valley Fever and Newcastle Disease Vaccine Value Chain in Rwanda,external_research_article;no_microdata,2,1,
oa_W4384299604,Increasing Household Diet Diversity and Food Security in Rural Rwanda Using Small-Scale Nutrition-Sensitive Agriculture: A Community-Engaged Proof-of-Concept Study,external_research_article;no_microdata,2,1,
oa_W2948914131,"The Role of Women in Production and Management of RTB Crops in Rwanda and Burundi: Do Men Decide, and Women Work?",external_research_article;no_microdata,2,1,
oa_W4400421666,Dietary Diversity and Nutritional Status Among Rwandan Women Engaged in Agriculture: A Cross‐Sectional Study,external_research_article;no_microdata,2,1,
oa_W778275304,"The impact of transaction costs on the participation of smallholder farmers and intermediaries in the banana markets of Burundi, Democratic Republic of Congo and Rwanda",external_research_article;no_microdata,2,1,
oa_W3200227181,The Genesis and Performance of Gender Focal Person Structures in Rwanda and Uganda National Agricultural Organisations: A Critique,external_research_article;no_microdata,2,1,
oa_W2974358604,Cost of Gender Gaps In The Agricultural Sector:: The Case Of Kenya and Rwanda,missing_url;external_research_article;no_microdata,3,0,
oa_W2945711233,"Gender Equality, Agriculture and Rural Development: Evidence from Nyamasheke Coffee Production in Rwanda",external_research_article;no_microdata,2,1,
oa_W3004223555,Continuity and change: Negotiating gender norms in agricultural research for development in Rwanda,missing_url;external_research_article;no_microdata,3,0,
oa_W4382407231,Women's empowerment in Rwandan agriculture: A baseline assessment in the context of Rwanda's gender and youth mainstreaming strategy and the fourth strategic plan for agricultural transformation,external_research_article;no_microdata,2,1,
oa_W2094116543,Bayesian Mapping of HIV Infection among Women of Reproductive Age in Rwanda,external_research_article;no_microdata,2,1,
oa_W4393991567,Financial inclusion and nutrition among rural households in Rwanda,external_research_article;no_microdata,2,1,
oa_W2526573703,"Food (In)Security, Human (In)Security, Women’s (In)Security: State Policies and Local Experiences in Rural Rwanda",external_research_article;no_microdata,2,0,
oa_W4220749752,Window dressing inequalities and constructing women farmers as problematic—gender in Rwanda’s agriculture policy,external_research_article;no_microdata,2,1,
oa_W2034984044,Gender Participation and Decision Making in Crop Management in Great Lakes Region of Central Africa,external_research_article;no_microdata,2,0,
oa_W2758246512,"ActionAid’s Food Security and Economic Empowerment Programme in Muko Sector, Northern Rwanda: Guidelines for Achieving the Double Boon",external_research_article;no_microdata,2,1,
oa_W2338179663,"Rwanda Nutrition, Markets and Gender Analysis 2015: An integrated approach towards alleviating malnutrition among vulnerable populations in Rwanda",external_research_article;no_microdata,2,1,
oa_W2162428550,Sustainable Rural Development in Rwanda: The Importance of a Focus onWomen in Agriculture,missing_url;external_research_article;no_microdata,3,0,
oa_W3036129169,Socio-economic and institutional factors affecting smallholders farmers to adopt agroforestry practices in southern province of Rwanda,external_research_article;no_microdata,2,1,
oa_W4284697840,Adoption of organic pepper production practices among smallholder farmers in Rwanda- A case study of Bugesera district.,external_research_article;no_microdata,2,1,
oa_W2952720947,Socio-economic and Institutional Factors Influencing the Potato (Solanum tuberosum L.) Production at Smallholder Farmers Level in the Gicumbi District in Rwanda,external_research_article;no_microdata,2,1,
oa_W297483378,Women's Land Access in Post-Conflict Rwanda: Bridging the Gap between Customary Land Law and Pending Land Legislation,missing_url;external_research_article;no_microdata,3,0,
oa_W1540071186,Fragmented lives: reconstructing rural livelihoods in post-genocide Rwanda,external_research_article;no_microdata,2,1,
oa_W3124980772,"The role of women in production and management of RTB crops in Rwanda and Burundi: Do men decide, and women work?",external_research_article;no_microdata,2,1,
oa_W3152881905,What empowerment indicators are important for food consumption for women? Evidence from 5 sub-Sahara African countries,external_research_article;no_microdata,2,1,
oa_W74625181,Changing Gender Relations? Women's Experiences of Land Rights in the Case of the Land Tenure Reform Program in Rwanda.,external_research_article;no_microdata,2,1,
oa_W4412094598,"Integrating environmental, socio-economic, and biological data in a farmer-led potato trial for enhanced varietal assessment in Rwanda",external_research_article;no_microdata,2,1,
oa_W1657763063,"Women's perceptions of the Girinka (one cow per poor family) programme, poverty alleviation and climate resilience in Rwanda",external_research_article;no_microdata,2,0,
oa_W4280520370,Effect of integrated nutrition‐sensitive and nutrition‐specific intervention package on maternal malnutrition among pregnant women in Rwanda,external_research_article;no_microdata,2,1,
oa_W2070696099,"Surviving Genocide, Thriving in Politics: Rwandan Women’s Power",external_research_article;no_microdata,2,1,
oa_W2890066427,Exploring pathways for gender-responsive climate services in Rwanda,external_research_article;no_microdata,2,1,
oa_W103920714,Gender Mainstreaming in Sector Budget Support: The Case of the European Commission's Sector Support to Rwanda's Agriculture Sector,external_research_article;no_microdata,2,1,
oa_W3191514362,Analysis of Socio-Economic Factors Influencing Farmers’ Adoption of Coffee Organic Farming in Gakenke District of Rwanda,external_research_article;no_microdata,2,1,
oa_W3007455311,The use of mobile phones in the extension and advisory service in Rwanda,external_research_article;no_microdata,2,1,
oa_W2144006371,Structural Violence and Clinical Medicine,external_research_article;no_microdata,2,1,
oa_W2178581509,"Food (in)security in rural Rwanda: women’s understanding, experiences and coping strategies",external_research_article;no_microdata,2,1,
oa_W4396626144,“We all think boots are meant for men”: A community-based participatory assessment of rural women’s barriers to preventing podoconiosis in Rwanda,external_research_article;no_microdata,2,1,
oa_W2900986452,Gender norms and farming households in rural Rwanda: a GENNOVATE case-study for the Nyamirama sector in Kayonza district,external_research_article;no_microdata,2,1,
oa_W4403793471,Gender dynamics and aspirational disparities in agriculture,external_research_article;no_microdata,2,1,
oa_W2950523524,The contribution of Land Use Consolidation policy to food and nutrition security of women farmers,external_research_article;no_microdata,2,1,
oa_W4404012238,Women's dietary diversity is associated with homestead production and market access: A cross‐sectional study in rural Rwanda,external_research_article;no_microdata,2,1,
oa_W2767478998,"From Violence to Mobilization: War, Women, and Political Power in Rwanda and Bosnia-Herzegovina",external_research_article;no_microdata,2,1,
oa_W2910720274,"Linkages Between Poverty, Inequality and Exclusion in Rwanda",external_research_article;no_microdata,2,1,
oa_W2104216207,Promoting Sustainable Pro-Poor Growth in Rwandan Agriculture: What are the Policy Options?,external_research_article;no_microdata,2,1,
oa_W2925188469,Economic Impact of Farming Cooperatives in East Africa,external_research_article;no_microdata,2,1,
oa_W3037248131,EFFECT OF MICROFINANCE ON SMALLHOLDER FARMERS’ LIVELIHOOD IN RWANDA: A CASE STUDY OF NYAMAGABE DISTRICT,external_research_article;no_microdata,2,1,
oa_W4402490394,"Exploring the benefits, challenges, and rationale behind growing crops of choice among farmers in Rwanda",external_research_article;no_microdata,2,1,
oa_W4310839512,Why do Farmers in Nyaruguru District Adopt Organic Coffee Production Methods?,external_research_article;no_microdata,2,1,
oa_W2528862442,"Technical Efficiency of Smallholder Irish Potato Production in Nyabihu District, Rwanda",external_research_article;no_microdata,2,1,
oa_W2266983817,"An Economic Assessment of the Factors Influencing Smallholder Farmers' Access to Formal Credit: A Case Study of Rwamagana District, Rwanda",external_research_article;no_microdata,2,1,
oa_W2256479123,Consumer Acceptance of Biofortified Iron Beans in Rural Rwanda: Experimental Evidence,external_research_article;no_microdata,2,1,
oa_W4323019724,Women &amp; Land Arrangements in Rwanda: A gender-based analysis of access to natural resources,external_research_article;no_microdata,2,0,
oa_W2034160827,"FACTORS INFLUENCING ADOPTION OF RECOMMENDED FARM PRACTICES BY COFFEE FARMERS IN BUTARE, SOUTHERN RWANDA",external_research_article;no_microdata,2,0,
oa_W2753205473,Multiculturalism of Tanzanian Refugees in the Information Society and the United Nations High Commissioner for Refugees (UNHCR),missing_url;external_research_article;no_microdata,3,0,
oa_W4394723569,"Exploring Crop Choices: Benefits, Challenges, and Rationale Among Rwandan Farmers",external_research_article;no_microdata,2,1,
oa_W1528260908,State Policies and Livelihoods. Rwandan Human Settlement Policy. Case Study of Ngera and Nyagahuru Villages,external_research_article;no_microdata,2,1,
oa_W4388017508,How Does an Artisan Cooperative Impact Food Perception and Consumer Behaviors? A Rapid Rural Appraisal of Women in East Africa,external_research_article;no_microdata,2,1,
oa_W4387231551,"The Role of High-Value Agriculture in Capability Expansion: Qualitative Insights into Smallholder Cash Crop Production in Nepal, Laos and Rwanda",external_research_article;no_microdata,2,1,
oa_W4389299512,Financial inclusion and nutrition among rural households in Rwanda,external_research_article;no_microdata,2,1,
oa_W264698380,Learning from Catalyst of Rural Transformation,missing_url;external_research_article;no_microdata,3,0,
oa_W2159645679,An Examination of Socioeconomic Determinants of Average Body MassIndices in Rwanda,external_research_article;no_microdata,2,1,
oa_W2735100207,Gender-sensitive Value Chain Intervention Improved Profit Efficiency among Orange-fleshed Sweetpotato Producers in Rwanda,external_research_article;no_microdata,2,1,
oa_W4304184055,"Analyzing Various Factors Affecting Farmers’ Willingness to Adopt Soil Erosion Control Measures in the Sebeya Catchment, Rwanda",external_research_article;no_microdata,2,1,
oa_W220287782,International Legal Protection for Women and Female Children: Rwanda - a Case Study,missing_url;external_research_article;no_microdata,3,0,
oa_W1531069750,A Bed for the Night: Humanitarianism in Crisis,external_research_article;no_microdata,2,1,
oa_W2779761151,Social and economic development of rural women in Uganda using solar energy for productive use,external_research_article;no_microdata,2,0,
oa_W4413630024,"Milk matters : linking dairy cow feed to milk yield and quality, and child undernutrition in Northern Rwanda",external_research_article;no_microdata,2,0,
oa_W2131245944,Environmental and gender impacts of land tenure regularization in Africa: Pilot evidence from Rwanda,external_research_article;no_microdata,2,1,
oa_W2986228975,"Gendered land rights, legal reform and social norms in the context of land fragmentation - A review of the literature for Kenya, Rwanda and Uganda",external_research_article;no_microdata,2,1,
oa_W2109033316,Securing land rights for women,external_research_article;no_microdata,2,0,
oa_W3121234939,Environmental and Gender Impacts of Land Tenure Regularization in Africa: Pilot Evidence from Rwanda,external_research_article;no_microdata,2,1,
oa_W2057414138,Ahead of the game: land tenure reform in Rwanda and the process of securing women's land rights,external_research_article;no_microdata,2,0,
oa_W2943691750,Procuring Meaningful Land Rights for the Women of Rwanda,external_research_article;no_microdata,2,1,
oa_W3123367911,Environmental and Gender Impacts of Land Tenure Regularization in Africa: Pilot Evidence from Rwanda,external_research_article;no_microdata,2,1,
oa_W2790858539,From male to joint land ownership: Women's experiences of the land tenure reform programme in Rwanda,external_research_article;no_microdata,2,0,
oa_W2024369629,Women's land rights in the context of the land tenure reform in Rwanda – the experiences of policy implementers,external_research_article;no_microdata,2,0,
oa_W1512678070,"Situating Sexual Violence in Rwanda (1990–2001): Sexual Agency, Sexual Consent, and the Political Economy of War",external_research_article;no_microdata,2,0,
oa_W2115612061,Personal reflections on drafting laws to improve women's access to land: is there a magic wand?,external_research_article;no_microdata,2,0,
oa_W2025342263,Unequal Property Rights: A Study of Land Right Inequalities in Rwanda,external_research_article;no_microdata,2,0,
oa_W2117008384,Does the Law Work in Their Favor? The Complexity of Land Rights of Women Living in Polygamous Relationships in Rwanda,missing_url;external_research_article;no_microdata,3,0,
oa_W3123385345,Unequal Property Rights: A Study of Land Right Inequalities in Rwanda,external_research_article;no_microdata,2,1,
oa_W2898600239,Rwanda: Women’s Political Representation and Its Consequences,external_research_article;no_microdata,2,0,
